nationalBoundaryIdentifier,settlementDate,settlementPeriod,recordType,publishingPeriodCommencingTime,demand,activeFlag,spnDemand,spnGeneration
N,2022-01-02,38,DAIG,2022-01-02 18:15:00,,Y,,33509
N,2022-01-02,39,DAIG,2022-01-02 18:45:00,,Y,,32239
N,2022-01-02,40,DAIG,2022-01-02 19:15:00,,Y,,31293
N,2022-01-02,41,DAIG,2022-01-02 19:45:00,,Y,,30027
N,2022-01-02,42,DAIG,2022-01-02 20:15:00,,Y,,28721
N,2022-01-02,43,DAIG,2022-01-02 20:45:00,,Y,,27203
N,2022-01-02,44,DAIG,2022-01-02 21:15:00,,Y,,27086
N,2022-01-02,45,DAIG,2022-01-02 21:45:00,,Y,,25778
N,2022-01-02,46,DAIG,2022-01-02 22:15:00,,Y,,25926
N,2022-01-02,47,DAIG,2022-01-02 22:45:00,,Y,,25018
N,2022-01-02,48,DAIG,2022-01-02 23:15:00,,Y,,24163
N,2022-01-01,1,DATF,2021-12-31 23:45:00,22976,Y,,
N,2022-01-01,2,DATF,2022-01-01 00:15:00,22903,Y,,
N,2022-01-01,3,DATF,2022-01-01 00:45:00,23036,Y,,
N,2022-01-01,4,DATF,2022-01-01 01:15:00,22700,Y,,
N,2022-01-01,5,DATF,2022-01-01 01:45:00,23807,Y,,
N,2022-01-01,6,DATF,2022-01-01 02:15:00,23307,Y,,
N,2022-01-01,7,DATF,2022-01-01 02:45:00,23280,Y,,
N,2022-01-01,8,DATF,2022-01-01 03:15:00,22828,Y,,
N,2022-01-01,9,DATF,2022-01-01 03:45:00,22869,Y,,
N,2022-01-01,10,DATF,2022-01-01 04:15:00,22440,Y,,
N,2022-01-01,11,DATF,2022-01-01 04:45:00,22465,Y,,
N,2022-01-01,12,DATF,2022-01-01 05:15:00,22646,Y,,
N,2022-01-01,13,DATF,2022-01-01 05:45:00,23508,Y,,
N,2022-01-01,14,DATF,2022-01-01 06:15:00,23805,Y,,
N,2022-01-01,15,DATF,2022-01-01 06:45:00,23846,Y,,
N,2022-01-01,16,DATF,2022-01-01 07:15:00,23870,Y,,
N,2022-01-01,17,DATF,2022-01-01 07:45:00,23965,Y,,
N,2022-01-01,18,DATF,2022-01-01 08:15:00,24200,Y,,
